Gene stable ID,9ca1b249-c310-4c30-83ea-2558b46f5332
ENSG00000053770,1932
ENSG00000053900,1319
ENSG00000053918,99
ENSG00000054116,5884
ENSG00000054118,21655
ENSG00000054148,1197
ENSG00000054179,4195
ENSG00000054219,949
ENSG00000054267,5232
ENSG00000054277,2144
ENSG00000054282,2450
ENSG00000054356,16
ENSG00000054392,272
ENSG00000054523,7203
ENSG00000054598,13077
ENSG00000054611,1300
ENSG00000054654,5943
ENSG00000054690,21
ENSG00000054793,7616
ENSG00000054796,0
ENSG00000054803,2
ENSG00000054938,193
ENSG00000054965,8860
ENSG00000054967,698
ENSG00000054983,1816
ENSG00000055044,9781
ENSG00000055070,8148
ENSG00000055118,2126
ENSG00000055130,9938
ENSG00000055147,948
ENSG00000055163,3523
ENSG00000055208,5307
ENSG00000055211,1501
ENSG00000055332,8366
ENSG00000055483,7859
ENSG00000055609,10889
ENSG00000055732,3171
ENSG00000055813,8
ENSG00000055917,21544
ENSG00000055950,2440
ENSG00000055955,23
ENSG00000055957,3
ENSG00000056050,1033
ENSG00000056097,24492
ENSG00000056277,692
ENSG00000056291,0
ENSG00000056487,14
ENSG00000056558,961
ENSG00000056586,7316
ENSG00000056736,1230
ENSG00000056972,2952
ENSG00000056998,2273
ENSG00000057019,3968
ENSG00000057149,1
ENSG00000057252,1578
ENSG00000057294,2167
ENSG00000057468,147
ENSG00000057593,12
ENSG00000057608,29697
ENSG00000057657,310
ENSG00000057663,2739
ENSG00000057704,117
ENSG00000057757,6079
ENSG00000057935,7894
ENSG00000058056,7585
ENSG00000058063,7526
ENSG00000058085,12317
ENSG00000058091,3239
ENSG00000058262,39130
ENSG00000058272,4098
ENSG00000058335,99
ENSG00000058404,316
ENSG00000058453,1044
ENSG00000058600,3648
ENSG00000058668,4168
ENSG00000058673,11528
ENSG00000058729,1203
ENSG00000058799,1248
ENSG00000058804,3893
ENSG00000058866,558
ENSG00000059122,977
ENSG00000059145,828
ENSG00000059377,274
ENSG00000059378,2966
ENSG00000059573,17730
ENSG00000059588,9124
ENSG00000059691,965
ENSG00000059728,5799
ENSG00000059758,1689
ENSG00000059769,775
ENSG00000059804,369
ENSG00000059915,326
ENSG00000060069,1776
ENSG00000060138,12228
ENSG00000060140,798
ENSG00000060237,23328
ENSG00000060303,6
ENSG00000060339,5735
ENSG00000060491,1772
ENSG00000060558,199
ENSG00000060566,0
ENSG00000060642,1225
ENSG00000060656,16643
ENSG00000060688,4536
ENSG00000060709,21
ENSG00000060718,1192
ENSG00000060749,3370
ENSG00000060762,1010
ENSG00000060971,1603
ENSG00000060982,286
ENSG00000061273,3184
ENSG00000061337,206
ENSG00000061455,36
ENSG00000061492,1
ENSG00000061656,123
ENSG00000061676,17865
ENSG00000061794,4492
ENSG00000061918,645
ENSG00000061936,2921
ENSG00000061938,5885
ENSG00000061987,1620
ENSG00000062038,5013
ENSG00000062096,0
ENSG00000062194,7107
ENSG00000062282,11300
ENSG00000062370,1007
ENSG00000062485,7732
ENSG00000062524,10
ENSG00000062582,545
ENSG00000062598,2986
ENSG00000062650,7317
ENSG00000062716,3821
ENSG00000062725,2223
ENSG00000062822,2616
ENSG00000063015,2
ENSG00000063046,16683
ENSG00000063127,201
ENSG00000063169,1481
ENSG00000063176,876
ENSG00000063177,82787
ENSG00000063180,756
ENSG00000063241,1649
ENSG00000063244,12506
ENSG00000063245,7457
ENSG00000063322,4019
ENSG00000063438,683
ENSG00000063515,0
ENSG00000063587,2681
ENSG00000063601,3750
ENSG00000063660,1738
ENSG00000063761,338
ENSG00000063854,671
ENSG00000063978,6789
ENSG00000064012,2386
ENSG00000064042,142
ENSG00000064102,3919
ENSG00000064115,5608
ENSG00000064195,87
ENSG00000064199,364
ENSG00000064201,47
ENSG00000064205,191
ENSG00000064218,27
ENSG00000064225,2076
ENSG00000064270,32
ENSG00000064300,45
ENSG00000064309,837
ENSG00000064313,4446
ENSG00000064393,14794
ENSG00000064419,9867
ENSG00000064489,50
ENSG00000064490,2274
ENSG00000064545,2947
ENSG00000064547,2183
ENSG00000064601,6625
ENSG00000064607,4070
ENSG00000064651,22129
ENSG00000064652,810
ENSG00000064655,201
ENSG00000064666,7356
ENSG00000064687,475
ENSG00000064692,7
ENSG00000064703,3704
ENSG00000064726,12996
ENSG00000064763,184
ENSG00000064787,11
ENSG00000064835,1
ENSG00000064886,23906
ENSG00000064932,4314
ENSG00000064933,1872
ENSG00000064961,3635
ENSG00000064989,783
ENSG00000064995,2527
ENSG00000064999,6695
ENSG00000065000,6362
ENSG00000065029,998
ENSG00000065054,1465
ENSG00000065057,379
ENSG00000065060,2635
ENSG00000065135,12400
ENSG00000065150,21514
ENSG00000065154,4867
ENSG00000065183,9683
ENSG00000065243,6814
