Gene stable ID,db7a781d-67d2-4859-a6f5-c167cd64d149
ENSG00000052850,7
ENSG00000053108,349
ENSG00000053254,5122
ENSG00000053328,26
ENSG00000053371,3073
ENSG00000053372,2862
ENSG00000053438,10
ENSG00000053501,984
ENSG00000053524,34
ENSG00000053702,178
ENSG00000053747,4206
ENSG00000053770,3595
ENSG00000053900,1935
ENSG00000053918,932
ENSG00000054116,3923
ENSG00000054118,14436
ENSG00000054148,3269
ENSG00000054179,569
ENSG00000054219,682
ENSG00000054267,5460
ENSG00000054277,836
ENSG00000054282,2132
ENSG00000054356,39
ENSG00000054392,899
ENSG00000054523,5100
ENSG00000054598,873
ENSG00000054611,2125
ENSG00000054654,6875
ENSG00000054690,372
ENSG00000054793,5402
ENSG00000054796,0
ENSG00000054803,65
ENSG00000054938,8
ENSG00000054965,6245
ENSG00000054967,680
ENSG00000054983,3778
ENSG00000055044,3144
ENSG00000055070,8219
ENSG00000055118,44
ENSG00000055130,6463
ENSG00000055147,2272
ENSG00000055163,3591
ENSG00000055208,11369
ENSG00000055211,6305
ENSG00000055332,8468
ENSG00000055483,2879
ENSG00000055609,7316
ENSG00000055732,31
ENSG00000055813,88
ENSG00000055917,13119
ENSG00000055950,3447
ENSG00000055955,14
ENSG00000055957,2
ENSG00000056050,1592
ENSG00000056097,8619
ENSG00000056277,369
ENSG00000056291,15
ENSG00000056487,3
ENSG00000056558,738
ENSG00000056586,5271
ENSG00000056736,455
ENSG00000056972,1755
ENSG00000056998,665
ENSG00000057019,5561
ENSG00000057149,4
ENSG00000057252,3649
ENSG00000057294,1243
ENSG00000057468,10
ENSG00000057593,520
ENSG00000057608,27275
ENSG00000057657,3095
ENSG00000057663,3577
ENSG00000057704,1177
ENSG00000057757,3518
ENSG00000057935,3554
ENSG00000058056,1734
ENSG00000058063,4536
ENSG00000058085,29776
ENSG00000058091,5124
ENSG00000058262,28193
ENSG00000058272,6903
ENSG00000058335,152
ENSG00000058404,193
ENSG00000058453,1756
ENSG00000058600,3201
ENSG00000058668,14843
ENSG00000058673,12319
ENSG00000058729,2180
ENSG00000058799,4864
ENSG00000058804,2716
ENSG00000058866,84
ENSG00000059122,2274
ENSG00000059145,659
ENSG00000059377,2099
ENSG00000059378,2727
ENSG00000059573,11513
ENSG00000059588,2094
ENSG00000059691,1347
ENSG00000059728,1913
ENSG00000059758,3156
ENSG00000059769,938
ENSG00000059804,5972
ENSG00000059915,166
ENSG00000060069,1894
ENSG00000060138,8125
ENSG00000060140,44
ENSG00000060237,22360
ENSG00000060303,5
ENSG00000060339,6348
ENSG00000060491,2657
ENSG00000060558,1025
