Gene stable ID,5a2ae0bd-d23c-4104-a33b-7024cf61b597
ENSG00000047617,259
ENSG00000047621,1171
ENSG00000047634,389
ENSG00000047644,9241
ENSG00000047648,218
ENSG00000047662,159
ENSG00000047849,19095
ENSG00000047932,4584
ENSG00000047936,65
ENSG00000048028,2158
ENSG00000048052,564
ENSG00000048140,4758
ENSG00000048162,896
ENSG00000048342,1381
ENSG00000048392,2839
ENSG00000048405,1579
ENSG00000048462,32
ENSG00000048471,3909
ENSG00000048540,44
ENSG00000048544,2013
ENSG00000048545,9
ENSG00000048649,7043
ENSG00000048707,10017
ENSG00000048740,1890
ENSG00000048828,14402
ENSG00000048991,2481
ENSG00000049089,1047
ENSG00000049130,1995
ENSG00000049167,832
ENSG00000049192,379
ENSG00000049239,10714
ENSG00000049245,5640
ENSG00000049246,1005
ENSG00000049247,6
ENSG00000049249,157
ENSG00000049283,2094
ENSG00000049323,9362
ENSG00000049449,8010
ENSG00000049540,15377
ENSG00000049541,1470
ENSG00000049618,8570
ENSG00000049656,8422
ENSG00000049759,1797
ENSG00000049768,312
ENSG00000049769,226
ENSG00000049860,10675
ENSG00000049883,1160
ENSG00000050030,262
ENSG00000050130,4808
ENSG00000050165,9498
ENSG00000050327,1294
ENSG00000050344,2862
ENSG00000050393,2336
ENSG00000050405,9255
ENSG00000050426,2374
ENSG00000050438,337
ENSG00000050555,180
ENSG00000050628,2476
ENSG00000050730,33
ENSG00000050748,5640
ENSG00000050767,63
ENSG00000050820,2176
ENSG00000051009,1689
ENSG00000051108,10685
ENSG00000051128,1095
ENSG00000051180,257
ENSG00000051341,286
ENSG00000051382,6871
ENSG00000051523,2170
ENSG00000051596,518
ENSG00000051620,6550
ENSG00000051825,1238
ENSG00000052126,1940
ENSG00000052344,10281
ENSG00000052723,2181
ENSG00000052749,3321
ENSG00000052795,2357
ENSG00000052802,4457
ENSG00000052841,7514
ENSG00000052850,241
ENSG00000053108,96
ENSG00000053254,3736
ENSG00000053328,55
ENSG00000053371,3392
ENSG00000053372,2046
ENSG00000053438,1898
ENSG00000053501,994
ENSG00000053524,20
ENSG00000053702,246
ENSG00000053747,2333
ENSG00000053770,4778
ENSG00000053900,1399
ENSG00000053918,1163
ENSG00000054116,3209
ENSG00000054118,13445
ENSG00000054148,2603
ENSG00000054179,388
ENSG00000054219,667
ENSG00000054267,5811
ENSG00000054277,717
ENSG00000054282,2498
ENSG00000054356,178
ENSG00000054392,2430
ENSG00000054523,8187
ENSG00000054598,330
ENSG00000054611,1970
ENSG00000054654,10542
ENSG00000054690,978
ENSG00000054793,15708
ENSG00000054796,0
ENSG00000054803,48
ENSG00000054938,62
ENSG00000054965,11628
ENSG00000054967,314
ENSG00000054983,2630
ENSG00000055044,3985
ENSG00000055070,9295
ENSG00000055118,253
ENSG00000055130,3910
ENSG00000055147,3525
ENSG00000055163,4947
ENSG00000055208,9290
ENSG00000055211,5521
ENSG00000055332,6292
ENSG00000055483,4530
ENSG00000055609,9329
ENSG00000055732,47
ENSG00000055813,26
ENSG00000055917,12784
ENSG00000055950,3010
ENSG00000055955,3
ENSG00000055957,2
ENSG00000056050,1301
ENSG00000056097,8575
ENSG00000056277,296
ENSG00000056291,58
ENSG00000056487,5
ENSG00000056558,709
ENSG00000056586,3134
ENSG00000056736,618
ENSG00000056972,2481
ENSG00000056998,1929
ENSG00000057019,2523
ENSG00000057149,0
ENSG00000057252,6920
ENSG00000057294,730
ENSG00000057468,9
ENSG00000057593,30
ENSG00000057608,26793
ENSG00000057657,1240
ENSG00000057663,2682
ENSG00000057704,866
ENSG00000057757,2654
ENSG00000057935,4760
ENSG00000058056,26616
ENSG00000058063,3728
ENSG00000058085,10838
ENSG00000058091,3744
ENSG00000058262,44593
ENSG00000058272,5396
ENSG00000058335,212
ENSG00000058404,157
ENSG00000058453,768
ENSG00000058600,2529
ENSG00000058668,10251
ENSG00000058673,12962
ENSG00000058729,2419
ENSG00000058799,2908
ENSG00000058804,2608
ENSG00000058866,96
ENSG00000059122,1189
ENSG00000059145,1129
ENSG00000059377,781
ENSG00000059378,1924
ENSG00000059573,9175
ENSG00000059588,3182
ENSG00000059691,1126
ENSG00000059728,766
ENSG00000059758,2185
ENSG00000059769,564
ENSG00000059804,2089
ENSG00000059915,97
ENSG00000060069,1119
ENSG00000060138,6127
ENSG00000060140,343
ENSG00000060237,19702
ENSG00000060303,1
ENSG00000060339,6090
ENSG00000060491,2130
ENSG00000060558,795
ENSG00000060566,1
ENSG00000060642,1888
ENSG00000060656,1925
ENSG00000060688,2654
ENSG00000060709,21
ENSG00000060718,81357
ENSG00000060749,4437
ENSG00000060762,2013
ENSG00000060971,2178
ENSG00000060982,2715
ENSG00000061273,4861
ENSG00000061337,1649
ENSG00000061455,475
ENSG00000061492,0
ENSG00000061656,503
ENSG00000061676,18029
ENSG00000061794,5099
ENSG00000061918,1412
ENSG00000061936,2191
ENSG00000061938,1557
ENSG00000061987,4587
ENSG00000062038,2502
ENSG00000062096,6
ENSG00000062194,7985
ENSG00000062282,1470
ENSG00000062370,458
ENSG00000062485,14170
ENSG00000062524,12
ENSG00000062582,36
ENSG00000062598,4392
ENSG00000062650,6103
ENSG00000062716,11729
ENSG00000062725,6495
ENSG00000062822,649
ENSG00000063015,1
ENSG00000063046,27500
ENSG00000063127,17
ENSG00000063169,661
ENSG00000063176,506
ENSG00000063177,20335
ENSG00000063180,154
ENSG00000063241,1575
ENSG00000063244,9059
ENSG00000063245,3256
ENSG00000063322,4479
ENSG00000063438,140
ENSG00000063515,0
ENSG00000063587,2236
ENSG00000063601,2388
ENSG00000063660,5046
ENSG00000063761,430
ENSG00000063854,1929
ENSG00000063978,6601
ENSG00000064012,1823
ENSG00000064042,8171
ENSG00000064102,1885
ENSG00000064115,4824
ENSG00000064195,730
ENSG00000064199,1010
ENSG00000064201,23
ENSG00000064205,3039
ENSG00000064218,213
ENSG00000064225,285
ENSG00000064270,454
ENSG00000064300,479
ENSG00000064309,829
ENSG00000064313,2721
ENSG00000064393,9467
ENSG00000064419,4834
ENSG00000064489,20
ENSG00000064490,1890
ENSG00000064545,1372
ENSG00000064547,1158
ENSG00000064601,6849
ENSG00000064607,3591
ENSG00000064651,6552
ENSG00000064652,926
ENSG00000064655,1797
